id,title,company_name,venue,date,exp_year,level,salary,edu,src_pic
302,"[Online-HCM] Công Ty Alta Software Tuyển Dụng Thực Tập Sinh Lập Trình Front-end, Back-end Full-time 2023","Công Thiện Phan","Hồ Chí Minh",30-12-2023,"Không cần kinh nghiệm - Đừng lo! Chúng tôi sẽ đào tạo bạn từ đầu. Có kinh nghiệm là điểm cộng!","Nhân Viên","Cập nhật","Đang cập nhật",/images/no_company.png
303,"Nhân Viên Thiết Kế In Ấn - Quận 8","Công Ty TNHH Thương Mại - Dịch Vụ Và Quảng Cáo Oanh Trần",TP.HCM,09/12/2023,"Yêu cầu kinh nghiệm","1 tháng","8 - 10 triệu","Trung cấp",https://cdn1.vieclam24h.vn/upload/files_cua_nguoi_dung/logo/2020/05/06/3122722_vieclam24h_1588744792.jpg
304,"Senior .Net Backend / Devops Engineer","Công Ty TNHH Monstarlab Việt Nam","Hà Nội",31/01/2024,"Yêu cầu kinh nghiệm","2 tháng","30 - 60 triệu","Đại học",https://cdn1.vieclam24h.vn/images/employer_avatar/2023/10/06/Monstarlab-Logo_169656661285.png
305,"Nhân Viên Kinh Doanh Phần Mềm","Công Ty Cổ Phần Công Nghệ Sandboxvn","Hà Nội",08/12/2023,"Yêu cầu kinh nghiệm","Chuyên viên- nhân viên","8 - 50 triệu","Đại học",/img/vieclam24h_logo_customer.jpg
306,"Manager / Senior Manager, Tpa Management & Sales","Công Ty TNHH Xoài Việt Nam",TP.HCM,06/01/2024,"Yêu cầu kinh nghiệm","1 tháng","10 - 30 triệu","Đại học",/img/vieclam24h_logo_customer.jpg
307,"[Hanoi] Công Ty Công Nghệ LogiGear Tuyển Dụng Lập Trình Viên Frontend Developer Vue.JS, Japanese Test Lead, Salesforce Developer, C#, Dot.NET, PHP/Lavarel Developer Full-time 2023","Anh phạm","Hà Nội",26-12-2023,"Yêu cầu ứng viên phải có kinh nghiệm","Nhân Viên","20 triệu","Đang cập nhật",https://cdn1.123job.vn/123job/uploads/2023/02/13/2023_02_13______b16245055f27b42b01b5e0bca2b8fe23.png
308,"[HN] Công Ty Giải Pháp Công Nghệ MIGI Technology Tuyển Dụng Lập Trình Viên C++ Full-time 2023","Lê Thị Huyền","Hà Nội",31-12-2023,"Yêu cầu ứng viên phải có kinh nghiệm","Nhân Viên","15 - 30 triệu","Đang cập nhật",https://cdn1.123job.vn/123job/uploads/2023/05/12/2023_05_12______e4cf316e2ea83ada2bfdd450d87d6ae8.jpg
309,"Golang Developer | T4039","Công ty TNHH CMC GLOBAL","Hà Nội",31-12-2023,"1 năm","Nhân Viên","20 - 40 triệu","Đang cập nhật",https://cdn1.123job.vn/123job/uploads/2023/02/07/2023_02_07______11b77ede7df41866abac00b9bf03f739.jpg
310,"Tuyển 1 Nam Trông Net KDC Vĩnh LộC.Bình Tân","GAME BiBo","Bình Tân, Hồ Chí Minh",29-01-2024,"Không yêu cầu","Nhân Viên","5.2 triệu","Không Yêu Cầu",/images/no_company.png
311,"[HN] Công Ty FTI Erp Solution Tuyển Dụng Nhân Viên Triển Khai Phần Mềm ERP SAP, Lập Trình Phát Triển Phần Mềm Java Full-time 2023","Lê quỳnh trang","Hà Nội",31-01-2024,"Yêu cầu ứng viên phải có kinh nghiệm","Nhân Viên","Cập nhật","Đang cập nhật",/images/no_company.png
